Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
402,0.1257,27.64,26.57
403,0.1257,27.66,26.59
404,0.1257,27.66,26.59
405,0.1257,27.63,26.57
406,0.1257,27.63,26.57
407,0.1257,27.63,26.57
408,0.1257,27.63,26.57
409,0.1257,27.64,26.58
410,0.1256,27.61,26.56
411,0.1257,27.65,26.57
412,0.1257,27.65,26.58
413,0.1257,27.63,26.57
414,0.1257,27.62,26.57
415,0.1257,27.64,26.57
416,0.1257,27.63,26.57
417,0.1257,27.65,26.58
418,0.1257,27.65,26.57
419,0.1257,27.65,26.58
420,0.1257,27.64,26.57
421,0.1257,27.65,26.58
422,0.1256,27.62,26.56
423,0.1257,27.64,26.57
424,0.1256,27.65,26.58
425,0.1256,27.65,26.58
426,0.1256,27.65,26.58
427,0.1256,27.63,26.56
428,0.1256,27.62,26.56
429,0.1256,27.64,26.57
430,0.1257,27.62,26.56
431,0.1256,27.61,26.56
432,0.1256,27.66,26.59
433,0.1256,27.65,26.58
434,0.1257,27.63,26.57
435,0.1257,27.63,26.56
436,0.1257,27.65,26.58
437,0.1256,27.63,26.57
438,0.1257,27.63,26.57
439,0.1256,27.61,26.56
440,0.1257,27.63,26.57
441,0.1256,27.65,26.58
442,0.1256,27.61,26.56
443,0.1257,27.64,26.57
444,0.1256,27.66,26.58
445,0.1256,27.63,26.57
446,0.1256,27.65,26.58
447,0.1256,27.65,26.58
448,0.1256,27.66,26.59
449,0.1256,27.64,26.57
450,0.1257,27.64,26.57
451,0.1256,27.64,26.58
452,0.1256,27.64,26.57
453,0.1256,27.64,26.58
454,0.1256,27.64,26.58
455,0.1256,27.65,26.58
456,0.1256,27.64,26.57
457,0.1256,27.63,26.57
458,0.1256,27.64,26.57
459,0.1256,27.64,26.57
460,0.1256,27.64,26.58
461,0.1256,27.64,26.57
462,0.1256,27.64,26.57
463,0.1256,27.64,26.58
464,0.1256,27.64,26.57
465,0.1256,27.64,26.58
466,0.1256,27.64,26.57
467,0.1256,27.64,26.58
468,0.1256,27.64,26.57
469,0.1256,27.65,26.58
470,0.1256,27.64,26.58
471,0.1256,27.64,26.58
472,0.1256,27.63,26.57
473,0.1256,27.64,26.58
474,0.1256,27.64,26.58
475,0.1256,27.64,26.58
476,0.1256,27.64,26.57
